address,price,extPrice,area,room,toilet,hDirection,bDirection
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng","3,68 tỷ","~44,55 triệu/m²","82,6 m²",1 phòng,1 phòng,Tây - Bắc,Đông - Nam
"Xã Hòa Ninh, Hòa Vang, Đà Nẵng",,,,,,,
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",49 triệu/m²,"~3,8 tỷ","77,5 m²",,,,
"Dự án Sun Cosmo Residence, Đường Trần Thị Lý, Ngũ Hành Sơn, Đà Nẵng","1,45 tỷ","~51,24 triệu/m²","28,3 m²",1 phòng,1 phòng,Đông - Bắc,Đông - Bắc
"Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng","2,05 tỷ","~20,5 triệu/m²",100 m²,Bắc,,5 m,5.5 m
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,"82,6 m²",2 phòng,2 phòng,Tây - Nam,Đông - Bắc
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng","3,5 tỷ","~42,42 triệu/m²","82,5 m²",,,,
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","1,8 tỷ",~25 triệu/m²,72 m²,Sổ đỏ/ Sổ hồng,Cơ bản,2 phòng,2 phòng
"Dự án Sun Cosmo Residence, Đường Trần Thị Lý, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,48 m²,,,Sổ đỏ/ Sổ hồng,
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng","3,75 tỷ","~45,73 triệu/m²",82 m²,Sổ đỏ/ Sổ hồng,,2 phòng,2 phòng
"Dự án One River, Đường Song Hào, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,300 m²,4 phòng,Sổ đỏ/ Sổ hồng.,15 m,3 tầng
"Dự án Sun Cosmo Residence, Đường Trần Thị Lý, Ngũ Hành Sơn, Đà Nẵng",60 triệu/m²,"~1,8 tỷ",30 m²,Sổ đỏ/ Sổ hồng,,1 phòng,1 phòng
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,82 m²,Hợp đồng mua bán,Cơ bản,2 phòng,2 phòng
"172/17, Đường Tô Hiệu, Phường Hòa Minh, Liên Chiểu, Đà Nẵng","2,99 tỷ","~49,83 triệu/m²",60 m²,3 tầng,3 phòng,6 m,4 m
"Dự án Sun Cosmo Residence, Đường Trần Thị Lý, Ngũ Hành Sơn, Đà Nẵng","2,1 tỷ","~64,98 triệu/m²","32,3 m²",Hợp đồng mua bán,Cơ bản,1 phòng,1 phòng
"Dự án FPT City Đà Nẵng, Đường Nam Kỳ Khởi Nghĩa, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","2,5 tỷ","~21,93 triệu/m²",114 m²,Đông - Nam,Sổ đỏ/ Sổ hồng,6 m,7.5 m
"Dự án Sun Cosmo Residence, Đường Trần Thị Lý, Ngũ Hành Sơn, Đà Nẵng",60 triệu/m²,"~1,68 tỷ",28 m²,Sổ đỏ/ Sổ hồng.,,1 phòng,1 phòng
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,75 m²,,,2 phòng,2 phòng
"Đường Đinh Tiên Hoàng, Phường Tam Thuận, Thanh Khê, Đà Nẵng",9 tỷ,~125 triệu/m²,72 m²,Đông - Nam,Đông - Nam,7 m,5.5 m
"Đường Khuê Mỹ Đông 14, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng","7,5 tỷ","~73,52 triệu/m²",102 m²,Tây - Bắc,,6 m,7.5 m
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",32 triệu/m²,"~36,64 tỷ",1.145 m²,,,Sổ đỏ/ Sổ hồng,
"Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,1.175 m²,198 phòng,Sổ đỏ/ Sổ hồng,10.5 m,Đông - Nam
"Dự án The Monarchy, Đường An Trung 2, Phường An Hải Tây, Sơn Trà, Đà Nẵng","2,4 tỷ",~32 triệu/m²,75 m²,,,,
"Đường Điện Biên Phủ, Phường Chính Gián, Thanh Khê, Đà Nẵng",170 triệu/m²,"~95,2 tỷ",560 m²,,,Nam,
"Dự án Premier Village, Đường Võ Nguyên Giáp, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,400 m²,4 phòng,,Tây,Đông
"Đường Trần Bạch Đằng, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,1.800 m²,,,Sổ đỏ/ Sổ hồng,
"Đường Ngũ Hành Sơn, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,1.500 m²,,,,
"Đường Chương Dương, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,4.000 m²,,,,
"Đường Võ Nguyên Giáp, Phường Phước Mỹ, Sơn Trà, Đà Nẵng",Thỏa thuận,,1.044 m²,,,Đông,Sổ đỏ/ Sổ hồng.
"Đường Tô Hiến Thành, Phường An Hải Đông, Sơn Trà, Đà Nẵng",Thỏa thuận,,164 m²,Đông,Sổ đỏ/ Sổ hồng,12.4 m,4 m
"Đường ĐT 601, Xã Hòa Tiến, Hòa Vang, Đà Nẵng","1,2 tỷ","~4,8 triệu/m²",250 m²,Sổ đỏ/ Sổ hồng,,6 m,4 m
"Đường Trần Văn Giảng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","2,8 tỷ",~35 triệu/m²,80 m²,,,,
"Đường 601, Xã Hòa Liên, Hòa Vang, Đà Nẵng","1,3 tỷ","~8,67 triệu/m²",150 m²,,,Tây - Bắc,
"K814A/35/3A Đường Trần Cao Vân, Phường Thanh Khê Đông, Thanh Khê, Đà Nẵng","2,9 tỷ","~25,66 triệu/m²",113 m²,Bắc,Bắc,5.46 m,2 m
"Dự án KĐT Vịnh Thuận Phước, Đường Nguyễn Hữu An, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng",45 triệu/m²,"~16,2 tỷ",360 m²,Tây - Bắc,Sổ đỏ/ Sổ hồng,20 m,7.5 m
"Dự án Hyatt Regency, Đường Trường Sa, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","9,7 tỷ","~75,19 triệu/m²",129 m²,3 phòng,2 phòng,Tây,Đông
"Đường Nguyễn Duy Trinh, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","2,18 tỷ","~17,16 triệu/m²",127 m²,Tây - Bắc,Sổ đỏ/ Sổ hồng.,5.4 m,7.5 m
